,0
0,300770.SZ
1,603022.SH
2,600966.SH
3,603318.SH
4,000790.SZ
5,300234.SZ
6,000620.SZ
7,300200.SZ
8,603012.SH
9,600007.SH
10,002123.SZ
11,600526.SH
12,300009.SZ
13,300486.SZ
14,300546.SZ
15,000611.SZ
16,002137.SZ
17,000403.SZ
18,002348.SZ
19,002634.SZ
20,002213.SZ
21,601636.SH
22,603069.SH
23,002100.SZ
24,300182.SZ
25,300214.SZ
26,300497.SZ
27,002259.SZ
28,300658.SZ
29,002735.SZ
30,002880.SZ
31,300341.SZ
32,300481.SZ
33,603229.SH
34,603590.SH
35,002315.SZ
36,002332.SZ
37,002451.SZ
38,300140.SZ
39,603976.SH
40,000951.SZ
41,002172.SZ
42,600876.SH
43,002626.SZ
44,603081.SH
45,603825.SH
46,000043.SZ
