,ts_code,total_mv,circ_mv
0,600131.SH,1068241.2034,863829.2748
1,002628.SZ,352949.1238,336121.3884
2,000540.SZ,2360770.8268,2190722.3314
3,300629.SZ,218260.3914,78362.7156
4,300382.SZ,337047.9408,337013.4192
5,600774.SH,265756.1103,265533.303
6,603318.SH,1259109.7088,1255550.6288
7,300190.SZ,627811.7506,584051.0812
8,603908.SH,190133.19,65713.5686
9,002199.SZ,320857.0344,320857.0344
10,300566.SZ,374033.205,227945.6759
11,600892.SH,280851.0224,271260.4871
12,002290.SZ,118443.617,105409.7304
13,002803.SZ,506400.6652,448254.9503
14,603629.SH,289800.0,72450.0
15,002826.SZ,195791.04,117372.6531
16,002027.SZ,8248968.7174,8248968.7174
17,002121.SZ,626715.3704,413206.85
18,000638.SZ,150677.8,150677.8
19,002069.SZ,206933.6485,200423.4692
20,300099.SZ,432949.273,253413.6655
21,002873.SZ,197775.144,103940.4925
22,002310.SZ,1374956.546,878019.4811
23,300415.SZ,330912.0,212954.1211
24,002569.SZ,134269.59,134044.4648
25,600802.SH,294806.4702,294806.4702
26,002330.SZ,311240.0,311158.718
27,603599.SH,669137.9544,669137.9544
28,000547.SZ,1610495.9176,1105177.8858
29,002810.SZ,276744.192,269627.5142
30,002245.SZ,376823.7228,351048.4143
31,000703.SZ,3978415.6636,3195717.4984
32,601398.SH,202082347.7695,152870124.5096
33,002031.SZ,439879.134,378609.7276
34,002018.SZ,47834.3759,47834.3759
35,600717.SH,1258086.5629,1258086.5629
36,688033.SH,1466921.8676,141992.235
37,002845.SZ,347984.1531,131407.8205
38,002615.SZ,237621.6,130419.4912
39,600188.SH,5192000.912,3128592.6315
40,002459.SZ,427169.5967,425294.2401
41,600416.SH,670596.5364,670596.5364
42,300119.SZ,605526.7141,365140.8867
43,603937.SH,233736.72,84885.4019
44,600682.SH,1405362.0387,1046251.648
45,603298.SH,741387.3076,204361.5955
46,300745.SZ,261431.6996,146610.8697
47,603936.SH,653704.4372,529081.5578
48,002536.SZ,236335.9762,222392.8191
49,300112.SZ,222960.7683,152145.7258
50,002104.SZ,555446.3191,468634.3494
51,002335.SZ,472427.8002,387868.3764
52,603811.SH,353784.48,238057.092
53,000850.SZ,367085.6885,366975.7874
54,300241.SZ,301596.1591,235420.8581
55,300221.SZ,244703.1524,222199.329
56,002426.SZ,877587.0183,590375.6453
57,300778.SZ,335040.0,83760.0
58,603755.SH,482713.9685,120710.7
59,603016.SH,202534.72,202534.72
60,600265.SH,337090.6,337090.6
61,000792.SZ,2716438.336,2681152.4951
62,601865.SH,1881750.0,144750.0
63,600490.SH,1010389.788,680064.585
64,000419.SZ,233196.959,233071.4027
65,002654.SZ,356223.3761,240307.3669
66,300672.SZ,661479.6479,402573.5569
